Greedy_RefOnly	Greedy_Nr	Greedy_NrEuk	MEM_RefOnly	MEM_Nr	MEM_NrEuk	averVal	COV	taxonomy
295661	237556	228718	290577	237556	189767	246639	0.16273	Unclassified
961	2866	2684	11029	2866	19961	6727.83	1.09841	root__cellular__organisms__Bacteria
845	3983	3956	6549	3983	14372	5614.67	0.82925	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes
597	5814	5794	2755	5814	8222	4832.67	0.55981	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae
0	7007	6974	0	7007	4906	4315.67	0.79699	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Sediminibacterium__Sediminibacterium__ginsengisoli
982	2529	2506	5124	2529	8246	3652.67	0.71639	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria
784	2031	1959	6276	2031	8135	3536	0.83174	root__cellular__organisms__Bacteria__Proteobacteria
1023	4630	4622	1063	4630	5094	3510.33	0.54689	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae__Novosphingobium
1644	2336	2323	5405	2336	6048	3348.67	0.55906	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae
1443	2807	2804	2043	2807	3400	2550.67	0.27171	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Bradyrhizobiaceae__Bradyrhizobium
8699	4	4	5833	4	0	2424	1.59181	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Niastella__Niastella__koreensis__Niastella__koreensis__GR20-10
1060	2265	2258	2402	2265	3686	2322.67	0.35867	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales__Sphingomonadaceae
5098	541	540	3549	541	411	1780	1.14089	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Chitinophagia__Chitinophagales__Chitinophagaceae__Flavisolibacter__Flavisolibacter__sp.__LCS9
0	2778	2763	0	2778	1655	1662.33	0.81723	root__cellular__organisms__Bacteria__FCB__group__Bacteroidetes/Chlorobi__group__Bacteroidetes__Sphingobacteriia__unclassified__Sphingobacteriia
662	1128	1127	2364	1128	2970	1563.17	0.5723	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Sphingomonadales
0	2312	2307	0	2312	1591	1420.33	0.79905	root__cellular__organisms__Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__unclassified__Rhodobacterales
